Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,2,Total Imports,Oil cake,91951.279,426855.212
2009,2,Total Imports,Oil seeds and oleaginous fruits,21095.42,60868.084
2009,2,Total Imports,Oranges and Mandarins etc,30167.809,45620.97
2009,2,Total Imports,Other animal feedingstuffs,33226.894,159264.782
2009,2,Total Imports,Other beet or cane sugar,4541.219,6678.433
2009,2,Total Imports,"Other cereal (including maize), unmilled",15563.711,65728.782
2009,2,Total Imports,Other Citrus fruit,1754.406,3108.768
2009,2,Total Imports,Other fruit,53208.468,36770.219
2009,2,Total Imports,Other meat products,27898.807,9109.572
2009,2,Total Imports,Other milk products,16937.69,15499.49
2009,2,Total Imports,Other spirits,12056.425,3093.803
2009,2,Total Imports,Other sugars,11366.236,23072.973
2009,2,Total Imports,"Other vegetables, fresh or chilled",111474.953,124275.315
2009,2,Total Imports,"Other vegetables, prepared or preserved",26575.158,23175.251
2009,2,Total Imports,Pasta uncooked,9738.467,37944.504
2009,2,Total Imports,"Pasta, cooked or stuffed",17086.11,15719.534
2009,2,Total Imports,Pears & quinces fresh,10623.838,11448.803
2009,2,Total Imports,Pork,50137.194,28424.025
2009,2,Total Imports,Potato products,26025.242,39849.417
2009,2,Total Imports,"Potatoes, fresh or chilled (including seed)",9523.474,27383.914
2009,2,Total Imports,Poultry products,52493.566,18814.305
2009,2,Total Imports,Poultrymeat (inc poultry offal),63178.809,25436.026
2009,2,Total Imports,Processed fats and waxes,12568.31,24921.655
2009,2,Total Imports,Raw beet or cane sugar,40984.371,93425.923
2009,2,Total Imports,Rice,25865.395,44830.113
2009,2,Total Imports,Salmon (inc. smoked),12222.577,3465.696
2009,2,Total Imports,"Sauces, condiments, seasonings",46570.443,38626.294
2009,2,Total Imports,Sausages and related products,29131.459,10781.61
2009,2,Total Imports,Shellfish,27859.227,5950.829
2009,2,Total Imports,Spices,7932.368,5788.49
2009,2,Total Imports,Sugar confectionery,22292.695,10418.142
2009,2,Total Imports,Sweet biscuits,19711.901,7421.161
2009,2,Total Imports,Tea,15365.197,10104.815
2009,2,Total Imports,"Tomatoes, fresh or chilled",34718.352,32284.945
2009,2,Total Imports,"Tomatoes, prepared or preserved",25570.045,33228.193
2009,2,Total Imports,"Vegetable oils and fats, soft, crude, refined or fractionated",66638.248,84024.441
2009,2,Total Imports,"Vegetables, frozen or provisionally prepared",29723.206,42013.797
2009,2,Total Imports,Vodka,2101.206,845.946
2009,2,Total Imports,"Wheat, unmilled",15142.202,76713.917
2009,2,Total Imports,Whisky,6086.954,1568.392
2009,2,Total Imports,Wine,163853.38,70420.476
2009,2,Total Imports,Yogurt,13162.006,11901.76
2009,3,Total Exports,"Animal oils and fats, not chemically modified",5738.751,6034.815
2009,3,Total Exports,"Apples, fresh",741.095,1577.745
2009,3,Total Exports,"Apricots, cherries, peaches, plums and sloes (fresh)",172.234,105.856
2009,3,Total Exports,Bacon and ham,4308.812,1823.215
2009,3,Total Exports,Bananas,2724.804,3866.406
2009,3,Total Exports,"Barley, unmilled",10896.159,65108.919
2009,3,Total Exports,Beef and veal,22839.841,7063.569
2009,3,Total Exports,Beef products (inc. corned beef),914.712,249.998
2009,3,Total Exports,Beer,35965.69,40011.934
2009,3,Total Exports,"Bread, crispbreads, savoury biscuits",28602.459,17367.379
2009,3,Total Exports,Butter,6577.632,3167.394
2009,3,Total Exports,"Cereal, milled",6410.329,17218.875
2009,3,Total Exports,"Cereal, rolled or flaked",48690.612,47503.748
2009,3,Total Exports,Cheese,23111.1,8225.233
2009,3,Total Exports,Chocolate,26587.451,7631.83
2009,3,Total Exports,Cider & other fermented beverages,1970.628,2457.164
2009,3,Total Exports,Cocoa,6057.438,3719.063
2009,3,Total Exports,Coffee,20406.583,3306.063
2009,3,Total Exports,Condensed milk,421.885,221.81
2009,3,Total Exports,Dog or cat food for retail,15304.862,15786.914
2009,3,Total Exports,Edible offal and other meat,3419.783,3559.432
2009,3,Total Exports,Eggs & egg products,3586.153,2883.779
2009,3,Total Exports,Fish excl. Salmon & Shellfish,43382.338,24108.596
2009,3,Total Exports,"Flours, meals and pellets of meat, offal or fish",2129.264,7297.128
2009,3,Total Exports,Gin and Geneva,14403.88,3702.457
2009,3,Total Exports,"Grapes, fresh or dried",1734.64,1053.851
2009,3,Total Exports,Honey,852.275,161.235
2009,3,Total Exports,Ice cream,6527.629,3972.041
2009,3,Total Exports,Infant food for retail,1024.639,257.081
2009,3,Total Exports,Jams,5676.347,2880.949
2009,3,Total Exports,Juice,4306.084,2977.361
2009,3,Total Exports,Lamb and mutton,31790.374,8605.801
2009,3,Total Exports,Lemons and Limes,65.355,47.891
2009,3,Total Exports,"Lettuce and chicory, fresh or chilled",599.223,209.658
2009,3,Total Exports,Margarine,7332.994,23179.171
2009,3,Total Exports,Milk and cream,20644.792,66898.392
2009,3,Total Exports,Milk powder,8720.775,5886.508
2009,3,Total Exports,Mineral water,27864.597,46295.642
2009,3,Total Exports,Miscellaneous food ingredients,59395.078,18877.399
2009,3,Total Exports,Mixes and doughs for baking,4908.799,4278.765
2009,3,Total Exports,Molasses,480.988,2652.936
2009,3,Total Exports,"Mushrooms and truffles, fresh or chilled",29.368,6.591
2009,3,Total Exports,Nuts,1794.958,568.809
2009,3,Total Exports,Oil cake,4358.352,24759.118
2009,3,Total Exports,Oil seeds and oleaginous fruits,1365.094,1950.743
2009,3,Total Exports,Oranges and Mandarins etc,1147.231,2836.731
2009,3,Total Exports,Other animal feedingstuffs,28328.156,40102.64
2009,3,Total Exports,Other beet or cane sugar,18232.871,37848.915
2009,3,Total Exports,"Other cereal (including maize), unmilled",992.16,3579.182
2009,3,Total Exports,Other Citrus fruit,22.455,42.167
2009,3,Total Exports,Other fruit,3589.267,3049.447
2009,3,Total Exports,Other meat products,4563.805,1605.222
2009,3,Total Exports,Other milk products,4084.336,7197.919
2009,3,Total Exports,Other spirits,14401.957,3656.958
2009,3,Total Exports,Other sugars,2231.221,4428.359
2009,3,Total Exports,"Other vegetables, fresh or chilled",9088.601,27048.163
2009,3,Total Exports,"Other vegetables, prepared or preserved",4665.401,4193.095
2009,3,Total Exports,Pasta uncooked,398.856,225.604
2009,3,Total Exports,"Pasta, cooked or stuffed",2540.886,1428.302
